review,rating,date,bank,source
what is this app problem???,1,2025-06-05,CBE,Google Play
not functional,1,2025-06-05,CBE,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play
yetemeta,1,2025-06-03,CBE,Google Play
it is not safety,1,2025-06-03,CBE,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play
its not fast,1,2025-05-24,CBE,Google Play
ok,1,2025-05-24,CBE,Google Play
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play
I hate this app 😒,1,2025-05-22,CBE,Google Play
its not working over safari network,1,2025-05-22,CBE,Google Play
oldie,1,2025-05-22,CBE,Google Play
it doesn't work,1,2025-05-21,CBE,Google Play
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play
poor service,1,2025-05-21,CBE,Google Play
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play
needs improvement,1,2025-05-06,CBE,Google Play
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play
wow,1,2025-05-05,CBE,Google Play
it's very low quality application,1,2025-05-04,CBE,Google Play
አዛ,1,2025-05-04,CBE,Google Play
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play
Unreliable!,1,2025-05-02,CBE,Google Play
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play
not bad not good,1,2025-05-02,CBE,Google Play
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play
the Best,1,2025-04-26,CBE,Google Play
to other bank is bad,1,2025-04-25,CBE,Google Play
amazing,1,2025-04-19,CBE,Google Play
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play
i can't take screenshot,1,2025-04-18,CBE,Google Play
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play
very very nice aplication,1,2025-04-08,CBE,Google Play
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play
in this update why screenshoot is disabled now it's not working,1,2025-03-28,CBE,Google Play
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,CBE,Google Play
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,CBE,Google Play
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,CBE,Google Play
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,CBE,Google Play
some times it is difficult to get reciepts for the payment made,1,2025-03-23,CBE,Google Play
this app is best,1,2025-03-23,CBE,Google Play
