review,rating,date,bank,source,sentiment,sentiment_score
what is this app problem???,1,2025-06-05,CBE,Google Play,negative,0.9996225833892822
not functional,1,2025-06-05,CBE,Google Play,negative,0.999778687953949
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,negative,0.9905162453651428
yetemeta,1,2025-06-03,CBE,Google Play,positive,0.6553664803504944
it is not safety,1,2025-06-03,CBE,Google Play,negative,0.9997867941856384
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative,0.9997958540916443
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,negative,0.685613214969635
its not fast,1,2025-05-24,CBE,Google Play,negative,0.9949808716773987
ok,1,2025-05-24,CBE,Google Play,positive,0.9997851252555847
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative,0.9998165965080261
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative,0.9986202716827393
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative,0.9996378421783447
its not working over safari network,1,2025-05-22,CBE,Google Play,negative,0.9991377592086792
oldie,1,2025-05-22,CBE,Google Play,negative,0.6663177013397217
it doesn't work,1,2025-05-21,CBE,Google Play,negative,0.9997813105583191
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,0.999855637550354
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,negative,0.7850590348243713
poor service,1,2025-05-21,CBE,Google Play,negative,0.9996534585952759
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative,0.9994208812713623
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative,0.9996201992034912
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,0.9996613264083862
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,0.9960438013076782
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,0.9997019171714783
