review,rating,date,bank,source,sentiment,sentiment_score,clean_review,themes
what is this app problem???,1,2025-06-05,CBE,Google Play,negative,0.9996225833892822,app problem,other
not functional,1,2025-06-05,CBE,Google Play,negative,0.999778687953949,functional,other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,negative,0.9905162453651428,everytime uninstall app reach physically oldy security layer check fraud attempt app source app store play store etc implicitly physical presence app install rare,other
yetemeta,1,2025-06-03,CBE,Google Play,positive,0.6553664803504944,yetemeta,other
it is not safety,1,2025-06-03,CBE,Google Play,negative,0.9997867941856384,safety,other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative,0.9997958540916444,like childish app well bad see,other
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,negative,0.685613214969635,network,other
its not fast,1,2025-05-24,CBE,Google Play,negative,0.9949808716773988,fast,other
ok,1,2025-05-24,CBE,Google Play,positive,0.9997851252555848,ok,other
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative,0.999816596508026,bad load need improve service,other
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative,0.9986202716827391,boring mobil banking application use alternative private bank mobile banking app,other
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative,0.9996378421783448,hate app,other
its not working over safari network,1,2025-05-22,CBE,Google Play,negative,0.9991377592086792,work safari network,other
oldie,1,2025-05-22,CBE,Google Play,negative,0.6663177013397217,oldie,other
it doesn't work,1,2025-05-21,CBE,Google Play,negative,0.9997813105583192,work,other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,0.999855637550354,app good,other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,negative,0.7850590348243713,በጣም ከርፋፋ,other
poor service,1,2025-05-21,CBE,Google Play,negative,0.999653458595276,poor service,other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative,0.9994208812713624,annoying mobile banking app see,other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative,0.9996201992034912,disappointing especially ios similar local application extremely superior application disappointing,other
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,0.9996613264083862,customer service bad good bank,support
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,0.9960438013076782,app self activation look near cbe branch disgusting,other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,0.9997019171714784,sorry developer mode application hack sure developer stupid not make sense,other
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,negative,0.9990994930267334,app tell turn developer option fix,other
needs improvement,1,2025-05-06,CBE,Google Play,negative,0.9966731071472168,need improvement,other
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,0.995843231678009,miss old send mony bank,other
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,negative,0.9975224137306212,developer read fix screenshot functionality download button work flawlessly touch time,other
wow,1,2025-05-05,CBE,Google Play,positive,0.999592125415802,wow,other
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,0.9996594190597534,low quality application,other
አዛ,1,2025-05-04,CBE,Google Play,negative,0.6970565915107727,አዛ,other
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,negative,0.8515542149543762,okay busy,other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,0.9997990727424622,bad commercial company fail normal thing,access
Unreliable!,1,2025-05-02,CBE,Google Play,negative,0.9997379183769226,unreliable,other
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,negative,0.9927296042442322,wor app like bank security network access,other
not bad not good,1,2025-05-02,CBE,Google Play,negative,0.9715350866317748,bad good,other
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,0.9997807145118712,bad mobile banking see life,other
the Best,1,2025-04-26,CBE,Google Play,positive,0.9998332262039183,good,other
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,0.9997149109840392,bank bad,other
amazing,1,2025-04-19,CBE,Google Play,positive,0.999875545501709,amazing,other
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,negative,0.9981147050857544,remove screenshot feature,other
i can't take screenshot,1,2025-04-18,CBE,Google Play,negative,0.9897894263267516,screenshot,other
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,negative,0.9983273148536682,scan recognize bank interoperable qr code,other
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,negative,0.994688868522644,network specially fee utility purpose,other
very very nice aplication,1,2025-04-08,CBE,Google Play,positive,0.9998292922973632,nice aplication,other
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,positive,0.9942916631698608,bring screenshot feature,other
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,positive,0.9985142350196838,good app experience smooth transaction customer,support
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,negative,0.9986600875854492,understand reason need disable developer option access app security risk hinder app functionality go dev hope life fill inconvenience,other
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,negative,0.9995038509368896,dear cbe app comparable pls try solve,other
in this update why screenshoot is disabled now it's not working,1,2025-03-28,CBE,Google Play,negative,0.9996315240859984,update screenshoot disable work,other
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,CBE,Google Play,negative,0.9977697134017944,late update prevent take screenshot annoying allow screenshot need evidence particularly case transfer failure,"access, features"
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,CBE,Google Play,negative,0.9995678067207336,work properly crash time commercial bank ethiopia application send money cbe birr money bank account forcefully wait day money account walk cbe world go decentralized finance,performance
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,CBE,Google Play,negative,0.9995493292808532,crash multiple time everytime launch fix edit crash fix screenshot disable know think good idea,performance
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,CBE,Google Play,negative,0.9996533393859864,fail mid transaction screenshot download work link shared work bring old app usless,access
some times it is difficult to get reciepts for the payment made,1,2025-03-23,CBE,Google Play,negative,0.9993370175361632,time difficult reciept payment,features
this app is best,1,2025-03-23,CBE,Google Play,positive,0.998983919620514,app good,other
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,CBE,Google Play,negative,0.9993658661842346,sad guy add screenshot restriction app bad great value need rethink change star rating resolve issue,other
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,CBE,Google Play,negative,0.9987834095954896,old version friendly use reason transaction history limited crash time open update prevent take screenshot thank developer get stupid,performance
What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,1,2025-03-21,CBE,Google Play,positive,0.9841668605804444,absolutely terrible update screenshot stupid restriction developer option actually developer point telebirr win game cbe well,other
how do you disable screenshots on a banking app you are very unserious people,1,2025-03-21,CBE,Google Play,negative,0.9976205229759216,disable screenshot banking app unserious people,other
"Not Good, too lame to use",1,2025-03-21,CBE,Google Play,negative,0.9997883439064026,good lame use,other
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,CBE,Google Play,negative,0.9997187256813048,take away screenshot receipt silly bad tbe download button put copy screenshot prevent take tbe download folder not attach directly whatsapp million people use screenshot proof payment transfer hard user contact developer manager awful decision,"support, features"
the update is unneeded,1,2025-03-19,CBE,Google Play,negative,0.9976237416267396,update unneeded,other
The app need update it always crash,1,2025-03-13,CBE,Google Play,negative,0.9979516863822936,app need update crash,performance
Asela,1,2025-03-13,CBE,Google Play,positive,0.9828375577926636,asela,other
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,CBE,Google Play,negative,0.9992684721946716,unstatisfied new update keeps crash reach max txn day refuse transfer probably go change bank fix asap,"features, performance"
